"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20260201","경부선","송탄","3575","3789","20260204",""
"20260201","경부선","서정리","5539","7235","20260204",""
"20260201","경부선","평택지제","3113","3236","20260204",""
"20260201","경부선","평택","11797","12126","20260204",""
"20260201","경부선","성환","2901","3170","20260204",""
"20260201","경부선","직산","704","806","20260204",""
"20260201","경부선","두정","5798","6211","20260204",""
"20260201","경부선","천안","6294","6153","20260204",""
"20260201","경부선","당정","3087","3057","20260204",""
"20260201","경부선","서동탄","793","744","20260204",""
"20260201","경부선","광명","2989","1992","20260204",""
"20260201","경원선","이촌(국립중앙박물관)","2705","2175","20260204",""
"20260201","경원선","서빙고","2060","2250","20260204",""
"20260201","경원선","한남","1574","1672","20260204",""
"20260201","경원선","옥수","62","36","20260204",""
"20260201","경원선","응봉","1051","1022","20260204",""
"20260201","경원선","왕십리(성동구청)","11927","12107","20260204",""
"20260201","경원선","청량리(서울시립대입구)","16642","15108","20260204",""
"20260201","경원선","외대앞","6491","6262","20260204",""
"20260201","경원선","신이문","4876","4540","20260204",""
"20260201","경원선","석계","4583","4944","20260204",""
"20260201","경원선","광운대","4638","4641","20260204",""
"20260201","경원선","월계","3989","3744","20260204",""
"20260201","경원선","녹천","2528","2272","20260204",""
"20260201","경원선","창동","5","0","20260204",""
"20260201","경원선","방학","6460","6300","20260204",""
"20260201","경원선","도봉","3465","3307","20260204",""
"20260201","경원선","도봉산","7554","5012","20260204",""
"20260201","경원선","망월사","4734","4810","20260204",""
"20260201","경원선","의정부","13476","13479","20260204",""
"20260201","경원선","가능","3871","3595","20260204",""
"20260201","경원선","녹양","2697","2576","20260204",""
"20260201","경원선","양주","4707","4688","20260204",""
"20260201","경원선","덕계","3774","3562","20260204",""
"20260201","경원선","덕정","3521","3551","20260204",""
"20260201","경원선","지행","4288","4318","20260204",""
"20260201","경원선","동두천중앙","1848","1793","20260204",""
"20260201","경원선","보산","1151","1282","20260204",""
"20260201","경원선","동두천","1021","1077","20260204",""
"20260201","경원선","소요산","2428","2434","20260204",""
"20260201","경원선","청산","111","89","20260204",""
"20260201","경원선","전곡","1052","1030","20260204",""
"20260201","경원선","연천","840","781","20260204",""
"20260201","경의선","서울역","930","932","20260204",""
"20260201","경의선","신촌","211","277","20260204",""
"20260201","경의선","효창공원앞","1546","1761","20260204",""
"20260201","경의선","공덕","2486","1855","20260204",""
"20260201","경의선","서강대","1437","1401","20260204",""
"20260201","경의선","홍대입구","2408","2906","20260204",""
"20260201","경의선","가좌","3175","3296","20260204",""
"20260201","경의선","디지털미디어시티","1584","1578","20260204",""
"20260201","경의선","수색","1283","1348","20260204",""
"20260201","경의선","한국항공대","758","815","20260204",""
"20260201","경의선","강매","1468","1396","20260204",""
"20260201","경의선","행신","4292","4121","20260204",""
"20260201","경의선","능곡","2519","2478","20260204",""
"20260201","경의선","곡산","308","304","20260204",""
"20260201","경의선","백마","3706","3694","20260204",""
"20260201","경의선","풍산","4049","3974","20260204",""
"20260201","경의선","일산","5604","5382","20260204",""
"20260201","경의선","탄현","4380","4121","20260204",""
"20260201","경의선","야당","5067","5086","20260204",""
"20260201","경의선","운정","4431","4200","20260204",""
"20260201","경의선","금릉","2902","2821","20260204",""
"20260201","경의선","금촌","4746","4898","20260204",""
"20260201","경의선","월롱","753","1132","20260204",""
"20260201","경의선","파주","692","626","20260204",""
"20260201","경의선","문산","3675","3891","20260204",""
"20260201","경의선","임진강","38","25","20260204",""
"20260201","경의선","운천","2","3","20260204",""
"20260201","경인선","개봉","12960","12863","20260204",""
"20260201","경인선","오류동","7145","6777","20260204",""
"20260201","경인선","역곡","14213","14370","20260204",""
"20260201","경인선","부천","23141","22763","20260204",""
"20260201","경인선","송내","12946","12932","20260204",""
"20260201","경인선","부평","22392","22310","20260204",""
"20260201","경인선","백운","4109","4035","20260204",""
"20260201","경인선","동암","9846","9660","20260204",""
"20260201","경인선","주안","11514","9904","20260204",""
"20260201","경인선","제물포","5569","5409","20260204",""
"20260201","경인선","동인천","9031","8553","20260204",""
"20260201","경인선","인천","3073","2604","20260204",""
"20260201","경인선","구일","3230","3209","20260204",""
"20260201","경인선","소사","5547","5155","20260204",""
"20260201","경인선","부개","5036","4722","20260204",""
"20260201","경인선","간석","3379","3209","20260204",""
"20260201","경인선","도원","2184","2209","20260204",""
"20260201","경인선","온수(성공회대입구)","3956","3584","20260204",""
"20260201","경인선","중동","5242","4956","20260204",""
"20260201","경인선","도화","2373","2273","20260204",""
"20260201","경춘선","신내","1357","1226","20260204",""
"20260201","경춘선","갈매","1317","1279","20260204",""
"20260201","경춘선","별내","1616","1375","20260204",""
"20260201","경춘선","퇴계원","1965","1870","20260204",""
"20260201","경춘선","사릉","1147","1119","20260204",""
"20260201","경춘선","금곡","882","826","20260204",""
"20260201","경춘선","평내호평","3486","3390","20260204",""
"20260201","경춘선","천마산","1079","940","20260204",""
"20260201","경춘선","마석","2472","2361","20260204",""
"20260201","경춘선","대성리","626","418","20260204",""
"20260201","경춘선","청평","1311","1226","20260204",""
"20260201","경춘선","상천","243","210","20260204",""
"20260201","경춘선","가평","1552","1239","20260204",""
"20260201","경춘선","굴봉산","80","81","20260204",""
"20260201","경춘선","백양리","256","221","20260204",""
"20260201","경춘선","강촌","370","298","20260204",""
"20260201","경춘선","김유정","357","289","20260204",""
"20260201","경춘선","남춘천","2400","2456","20260204",""
"20260201","경춘선","춘천","1346","1129","20260204",""
"20260201","공항철도 1호선","서울역","12695","11561","20260204",""
"20260201","공항철도 1호선","공덕","1853","2560","20260204",""
"20260201","공항철도 1호선","홍대입구","16456","13848","20260204",""
"20260201","공항철도 1호선","디지털미디어시티","5390","5505","20260204",""
"20260201","공항철도 1호선","마곡나루(서울식물원)","5720","5922","20260204",""
"20260201","공항철도 1호선","김포공항","7879","4035","20260204",""
"20260201","공항철도 1호선","계양","5296","5392","20260204",""
"20260201","공항철도 1호선","검암","3489","3450","20260204",""
"20260201","공항철도 1호선","청라국제도시","3962","4019","20260204",""
"20260201","공항철도 1호선","운서","7629","8769","20260204",""
"20260201","공항철도 1호선","공항화물청사","962","1025","20260204",""
"20260201","공항철도 1호선","인천공항1터미널","12267","12458","20260204",""
"20260201","공항철도 1호선","인천공항2터미널","10093","8749","20260204",""
"20260201","공항철도 1호선","영종","3341","3355","20260204",""
"20260201","과천선","선바위","3824","3333","20260204",""
"20260201","과천선","경마공원","12772","12762","20260204",""
"20260201","과천선","대공원","2911","2904","20260204",""
"20260201","과천선","과천","3179","2936","20260204",""
"20260201","과천선","정부과천청사","4682","4874","20260204",""
"20260201","과천선","인덕원","13337","13492","20260204",""
"20260201","과천선","평촌","7388","7033","20260204",""
"20260201","과천선","범계","16145","15987","20260204",""
"20260201","분당선","선릉","2966","4739","20260204",""
"20260201","분당선","한티","10039","9591","20260204",""
"20260201","분당선","도곡","3190","3226","20260204",""
"20260201","분당선","구룡","1604","1642","20260204",""
"20260201","분당선","개포동","2461","2442","20260204",""
"20260201","분당선","대모산입구","2828","2857","20260204",""
"20260201","분당선","수서","10710","10912","20260204",""
"20260201","분당선","복정","3","0","20260204",""
"20260201","분당선","수원","5931","5657","20260204",""
"20260201","분당선","서울숲","5603","6105","20260204",""
"20260201","분당선","압구정로데오","9743","9902","20260204",""
"20260201","분당선","강남구청","3112","3782","20260204",""
"20260201","분당선","선정릉","2366","2340","20260204",""
"20260201","분당선","가천대","4235","4644","20260204",""
"20260201","분당선","태평","8277","7867","20260204",""
"20260201","분당선","모란","11152","11597","20260204",""
"20260201","분당선","야탑","14185","14532","20260204",""
"20260201","분당선","서현","14656","14724","20260204",""
"20260201","분당선","수내","6514","6437","20260204",""
"20260201","분당선","정자","7565","7787","20260204",""
"20260201","분당선","미금","8066","8104","20260204",""
"20260201","분당선","오리","5542","5072","20260204",""
"20260201","분당선","이매","3614","3599","20260204",""
"20260201","분당선","보정","1137","1119","20260204",""
"20260201","분당선","죽전","7627","8803","20260204",""
"20260201","분당선","구성","4211","4325","20260204",""
"20260201","분당선","신갈","2124","2138","20260204",""
"20260201","분당선","기흥","5202","4836","20260204",""
"20260201","분당선","상갈","2682","2866","20260204",""
"20260201","분당선","청명","2270","2298","20260204",""
"20260201","분당선","영통","5488","5383","20260204",""
"20260201","분당선","망포","6797","7150","20260204",""
"20260201","분당선","매탄권선","2856","2761","20260204",""
"20260201","분당선","수원시청","8079","8074","20260204",""
"20260201","분당선","매교","2562","2650","20260204",""
"20260201","서해선","김포공항","2638","3750","20260204",""
"20260201","서해선","원종","3259","3207","20260204",""
"20260201","서해선","부천종합운동장","1440","1259","20260204",""
"20260201","수인선","고색","2274","2437","20260204",""
"20260201","수인선","오목천","2169","1947","20260204",""
"20260201","수인선","어천","959","1144","20260204",""
"20260201","수인선","야목","376","314","20260204",""
"20260201","수인선","사리","2771","2374","20260204",""
