agent_id,x_rev,y_rev,total_rev,approach_dwell,duration,detour_ratio,start_x,start_y,end_x,end_y,gate_idx
1796,0,3,3,2.3,4.4,1.01,5.5,11.6,9.9,12.0,2
1797,2,4,6,5.7,12.5,1.55,4.1,9.2,9.9,14.0,5
1798,28,47,75,13.2,17.9,1.85,4.0,9.8,9.8,11.7,1
1799,1,3,4,3.3,6.6,1.04,4.8,10.0,9.7,12.1,2
1801,2,7,9,6.7,14.6,1.09,4.0,8.3,9.9,12.6,2
1804,6,5,11,5.5,11.6,1.14,5.1,8.3,9.4,12.2,2
1808,0,2,2,3.4,6.6,1.05,5.4,8.8,9.9,9.5,0
1811,18,11,29,14.5,16.7,1.57,5.7,8.0,10.4,12.6,3
1813,8,19,27,10.9,14.7,1.37,5.6,7.5,9.8,11.9,2
1816,0,2,2,1.6,3.7,1.04,5.1,10.9,8.8,12.3,2
1818,4,2,6,6.5,12.8,1.15,4.8,8.1,9.4,13.4,4
1819,4,11,15,4.2,9.5,1.1,3.7,9.3,9.5,12.2,2
1823,4,2,6,8.5,13.0,1.2,4.9,7.4,9.4,13.1,4
1826,0,1,1,1.9,5.4,1.06,4.6,10.3,9.9,13.0,3
1827,8,11,19,6.4,12.9,1.37,4.3,8.6,10.0,11.8,2
1828,0,3,3,2.1,4.5,1.02,4.8,11.0,9.1,12.3,2
1834,2,0,2,5.1,8.6,1.13,5.8,9.9,9.5,13.1,4
1835,6,13,19,4.4,10.7,1.14,4.9,9.2,9.9,10.3,0
1836,14,23,37,10.1,14.0,1.58,4.5,10.8,10.1,11.6,1
1837,0,1,1,2.2,5.1,1.05,3.9,10.6,10.2,13.7,4
1839,0,6,6,1.8,5.6,1.08,4.5,10.3,9.3,12.9,4
1840,2,4,6,4.2,8.1,1.05,4.3,8.7,9.9,9.8,0
1842,8,6,14,7.3,10.8,1.19,3.9,8.0,10.4,10.6,1
1843,1,13,14,8.0,12.7,1.05,4.4,8.6,9.9,10.1,0
1845,0,0,0,2.3,5.3,1.04,4.4,10.9,9.7,13.8,4
1846,0,7,7,3.8,8.1,1.02,4.3,9.2,9.9,10.1,0
1851,4,3,7,3.0,8.6,1.08,3.8,8.5,9.9,12.8,3
1853,2,14,16,5.2,10.3,1.03,3.9,10.7,10.4,10.2,0
1857,0,3,3,1.8,3.0,1.03,5.9,8.9,9.4,9.5,0
1860,27,26,53,11.0,13.9,2.06,4.6,8.0,8.9,9.4,0
1862,1,13,14,7.0,11.7,1.12,4.7,8.8,10.3,9.0,4
1863,0,0,0,3.9,8.6,1.09,4.4,10.1,10.4,14.9,6
1865,2,10,12,5.9,12.0,1.04,3.7,10.0,10.3,10.4,3
1866,0,6,6,5.8,11.0,1.02,3.6,10.6,10.2,10.5,0
1867,0,8,8,5.5,7.5,1.06,5.4,8.6,9.8,9.3,0
1870,2,7,9,6.0,9.6,1.02,5.1,9.4,10.2,10.4,0
1872,4,0,4,2.5,8.8,1.11,3.7,8.2,9.4,14.1,5
1875,4,12,16,5.7,8.3,1.07,6.0,10.8,9.9,10.7,1
1877,0,8,8,5.0,9.2,1.05,3.8,9.9,9.9,10.9,1
1879,22,40,62,6.7,8.5,1.48,6.3,7.6,9.4,9.3,2
1881,0,1,1,2.4,6.3,1.07,3.6,10.1,9.9,14.2,5
1883,4,0,4,4.1,9.2,1.11,4.2,8.4,9.4,14.7,6
1885,1,0,1,1.7,3.9,1.07,4.8,10.7,9.5,13.2,4
1889,2,2,4,2.8,9.2,1.1,3.7,8.2,9.4,13.9,5
1891,2,3,5,3.4,8.0,1.2,5.2,9.4,9.8,14.8,6
1893,0,2,2,2.2,4.7,1.06,4.6,10.8,9.9,13.8,5
