scenario_id,p,config,seed,spawned,passed,avg_travel_time,p95_travel_time,n_completed,zone1_avg_density,zone1_max_density,zone2_avg_density,zone2_max_density,zone3_avg_density,zone3_max_density,zone4_avg_density,zone4_max_density
p30_cfg2_s46,0.3,2,46,222,222,39.553225806451614,56.01499999999998,155,0.05933333333333333,0.12,0.8184523809523809,2.5357142857142856,0.08333333333333333,0.16666666666666666,0.09722222222222221,0.16666666666666666
p30_cfg3_s42,0.3,3,42,212,207,39.22580645161291,58.275000000000006,155,0.057066666666666675,0.1192,0.8482142857142856,2.6785714285714284,0.07638888888888888,0.16666666666666666,0.09027777777777778,0.16666666666666666
p30_cfg3_s43,0.3,3,43,206,188,37.20993377483444,58.55000000000001,151,0.05346666666666666,0.112,0.9955357142857144,2.7857142857142856,0.07638888888888888,0.16666666666666666,0.09027777777777778,0.16666666666666666
p30_cfg3_s44,0.3,3,44,181,180,39.76538461538462,58.42000000000001,143,0.04906666666666667,0.1056,0.7797619047619048,2.392857142857143,0.07638888888888888,0.16666666666666666,0.08333333333333333,0.16666666666666666
p30_cfg3_s45,0.3,3,45,203,200,38.29213836477988,59.004999999999995,159,0.0531,0.1104,0.8452380952380952,2.4642857142857144,0.09722222222222221,0.16666666666666666,0.09027777777777778,0.16666666666666666
p30_cfg3_s46,0.3,3,46,222,191,38.88277027027027,64.1175,148,0.06136666666666666,0.124,1.3273809523809523,3.392857142857143,0.0625,0.16666666666666666,0.09027777777777778,0.16666666666666666
p30_cfg4_s42,0.3,4,42,212,164,39.00239726027397,61.025000000000006,146,0.05893333333333334,0.124,1.5520833333333333,3.75,0.07638888888888888,0.16666666666666666,0.07638888888888888,0.16666666666666666
p30_cfg4_s43,0.3,4,43,206,158,37.508156028368795,62.45,141,0.056299999999999996,0.1152,1.486607142857143,3.5,0.07638888888888888,0.16666666666666666,0.09027777777777778,0.16666666666666666
p30_cfg4_s44,0.3,4,44,181,149,37.306060606060605,60.00749999999999,132,0.04876666666666667,0.1032,1.2217261904761905,3.1785714285714284,0.06944444444444443,0.16666666666666666,0.08333333333333333,0.16666666666666666
p30_cfg4_s45,0.3,4,45,203,163,38.102739726027394,60.6,146,0.054799999999999995,0.1136,1.3333333333333333,3.2142857142857144,0.06944444444444443,0.16666666666666666,0.09027777777777778,0.16666666666666666
p30_cfg4_s46,0.3,4,46,222,171,38.44802631578948,61.7375,152,0.0605,0.1232,1.4136904761904763,3.4642857142857144,0.07638888888888888,0.16666666666666666,0.08333333333333333,0.16666666666666666
p50_cfg1_s42,0.5,1,42,212,158,36.414492753623186,60.09500000000001,138,0.05963333333333334,0.1232,1.1964285714285714,2.5,0.06944444444444443,0.16666666666666666,0.10416666666666667,0.16666666666666666
p50_cfg1_s43,0.5,1,43,206,140,35.352439024390236,64.78499999999995,123,0.05896666666666667,0.1168,1.2589285714285714,2.8214285714285716,0.03472222222222222,0.16666666666666666,0.09722222222222221,0.16666666666666666
p50_cfg1_s44,0.5,1,44,181,146,37.49214876033058,63.550000000000004,121,0.05146666666666666,0.1064,0.9791666666666666,2.3214285714285716,0.07638888888888888,0.16666666666666666,0.07638888888888888,0.16666666666666666
p50_cfg1_s45,0.5,1,45,203,143,36.099218750000006,66.45499999999998,128,0.0594,0.1192,1.269345238095238,2.7142857142857144,0.0625,0.16666666666666666,0.09722222222222221,0.16666666666666666
p50_cfg1_s46,0.5,1,46,222,144,36.6288,66.7,125,0.06596666666666667,0.132,1.3392857142857142,3.0357142857142856,0.05555555555555555,0.16666666666666666,0.07638888888888888,0.16666666666666666
p50_cfg2_s42,0.5,2,42,212,185,36.876449275362326,59.98250000000001,138,0.058666666666666666,0.1232,1.1547619047619049,3.0,0.06944444444444443,0.16666666666666666,0.09722222222222221,0.16666666666666666
p50_cfg2_s43,0.5,2,43,206,197,39.06690647482015,61.41,139,0.05703333333333333,0.1152,0.9032738095238096,2.7142857142857144,0.06944444444444443,0.16666666666666666,0.09722222222222221,0.16666666666666666
p50_cfg2_s44,0.5,2,44,181,181,36.713138686131394,58.019999999999996,137,0.047499999999999994,0.1024,0.6116071428571429,2.2142857142857144,0.05555555555555555,0.16666666666666666,0.10416666666666667,0.16666666666666666
p50_cfg2_s45,0.5,2,45,203,192,38.39384057971015,66.3525,138,0.05673333333333334,0.1168,1.0014880952380951,2.7142857142857144,0.06944444444444443,0.16666666666666666,0.10416666666666667,0.16666666666666666
p50_cfg2_s46,0.5,2,46,222,199,39.63285714285714,65.54999999999995,140,0.06336666666666667,0.128,1.2544642857142858,3.142857142857143,0.05555555555555555,0.16666666666666666,0.08333333333333333,0.16666666666666666
p50_cfg3_s42,0.5,3,42,212,211,40.50562913907285,57.150000000000006,151,0.05809999999999999,0.1256,0.6220238095238095,2.1785714285714284,0.06944444444444443,0.16666666666666666,0.09027777777777778,0.16666666666666666
p50_cfg3_s43,0.5,3,43,206,206,38.454575163398694,56.42000000000001,153,0.05453333333333334,0.1152,0.5997023809523809,2.0,0.08333333333333333,0.16666666666666666,0.09027777777777778,0.16666666666666666
p50_cfg3_s44,0.5,3,44,181,181,37.01774193548387,54.830000000000005,155,0.04493333333333333,0.0984,0.4449404761904762,1.5,0.08333333333333333,0.16666666666666666,0.09722222222222221,0.16666666666666666
p50_cfg3_s45,0.5,3,45,203,203,40.10859872611464,59.11999999999999,157,0.054933333333333334,0.1136,0.5863095238095237,1.8214285714285714,0.09722222222222221,0.16666666666666666,0.09027777777777778,0.16666666666666666
p50_cfg3_s46,0.5,3,46,222,222,41.08311258278146,58.45,151,0.06163333333333334,0.128,0.7901785714285715,2.357142857142857,0.07638888888888888,0.16666666666666666,0.09027777777777778,0.16666666666666666
p50_cfg4_s42,0.5,4,42,212,210,40.04220779220779,57.067499999999995,154,0.057433333333333336,0.1232,0.6994047619047619,2.107142857142857,0.07638888888888888,0.16666666666666666,0.09027777777777778,0.16666666666666666
p50_cfg4_s43,0.5,4,43,206,202,38.20705128205128,56.35,156,0.05356666666666667,0.1128,0.6875,2.2142857142857144,0.08333333333333333,0.16666666666666666,0.09027777777777778,0.16666666666666666
p50_cfg4_s44,0.5,4,44,181,179,37.25555555555556,57.6,153,0.0454,0.1008,0.65625,2.107142857142857,0.07638888888888888,0.16666666666666666,0.09722222222222221,0.16666666666666666
p50_cfg4_s45,0.5,4,45,203,194,37.86993670886076,55.2075,158,0.0526,0.112,0.8005952380952381,2.2857142857142856,0.0625,0.16666666666666666,0.09722222222222221,0.16666666666666666
p50_cfg4_s46,0.5,4,46,222,217,40.31578947368421,56.7725,152,0.06126666666666667,0.1264,0.8214285714285715,2.25,0.09027777777777778,0.16666666666666666,0.09027777777777778,0.16666666666666666
p70_cfg1_s42,0.7,1,42,212,123,35.081818181818186,64.065,110,0.06423333333333332,0.1296,1.3869047619047619,3.357142857142857,0.041666666666666664,0.16666666666666666,0.09027777777777778,0.16666666666666666
p70_cfg1_s43,0.7,1,43,206,116,36.44903846153847,64.325,104,0.06396666666666666,0.1288,1.4419642857142858,3.4642857142857144,0.027777777777777776,0.16666666666666666,0.07638888888888888,0.16666666666666666
p70_cfg1_s44,0.7,1,44,181,102,35.12692307692307,62.22500000000001,91,0.05656666666666666,0.1104,1.2663690476190477,3.107142857142857,0.013888888888888888,0.16666666666666666,0.08333333333333333,0.16666666666666666
p70_cfg1_s45,0.7,1,45,203,114,36.543627450980395,67.11749999999999,102,0.0636,0.1232,1.4047619047619049,3.4285714285714284,0.03472222222222222,0.16666666666666666,0.09027777777777778,0.16666666666666666
p70_cfg1_s46,0.7,1,46,222,121,37.228971962616825,65.68999999999997,107,0.06993333333333333,0.1368,1.394345238095238,3.6785714285714284,0.006944444444444444,0.16666666666666666,0.08333333333333333,0.16666666666666666
p70_cfg2_s42,0.7,2,42,212,166,37.07336065573771,63.195,122,0.06156666666666666,0.124,1.3125,3.357142857142857,0.05555555555555555,0.16666666666666666,0.09722222222222221,0.16666666666666666
p70_cfg2_s43,0.7,2,43,206,153,37.93000000000001,64.20500000000001,115,0.061233333333333334,0.1224,1.3601190476190474,3.357142857142857,0.041666666666666664,0.16666666666666666,0.09027777777777778,0.16666666666666666
p70_cfg2_s44,0.7,2,44,181,156,36.326923076923066,61.47,117,0.05086666666666667,0.1056,1.0223214285714286,2.857142857142857,0.041666666666666664,0.16666666666666666,0.10416666666666667,0.16666666666666666
